release_year,avg_revenue,avg_budget,avg_roi
1915,5568682.5,58655.5,58.96756398
1916,8000000,200000,40
1918,8000000,250000,32
1921,2500000,250000,10
1922,400200,1100000,0.363818182
1924,1213880,1135654,1.068881895
1925,8551000,1292750,25.41178029
1926,812439,418227.5,1.925157146
1927,1027757,483103,2.127407613
1928,905666.6667,208000,7.20371899
1929,4358000,379000,11.49868074
1930,8000000,3950000,2.025316456
1931,3814592.5,676000,12.0230442
1932,2594000,700000,3.705714286
1933,4595166.667,638380,8.758499165
1934,2347666.667,499469.3333,7.104649867
1935,2512750,988500,3.175894031
1936,2780800,1073800,2.510366498
1937,184925486,1488423,124.2425614
1938,5138033.667,1892578.667,2.825839196
1939,74864030.5,1976895.667,20.61514425
1940,38758400,2033600,16.74226433
1941,8779926.5,963287.8333,8.808837864
1942,50136775,723000,62.03359659
1943,1403312,758570.5,1.91495822
1944,3751000,1986052.4,2.057053568
1945,7143677.2,1513001.4,4.805515618
1946,19539716.5,3320000,7.48175479
1947,7800000,2000000,3.9
1948,3592904.571,2361024.286,1.564653467
1949,8233333.333,1866666.667,5.002777778
1950,55738775.6,2387157,19.37591392
1951,71788888.89,2632772.778,24.57676328
1952,14486500,2568950,6.259395596
1953,21009968.27,1844454.545,17.86957273
1954,15939289.13,2756101.625,9.268673056
1955,4557600,1076000,4.969579651
1956,23846666.67,4330833.333,4.485241594
1957,8280000,1636400,8.114239257
1958,13299684.14,1883714.286,13.04169368
1959,43529166.67,6063974.667,6.063033173
1960,16417177.91,3738813.455,7.673798728
1961,26051442,3408357.143,7.351860762
1962,34132831,13663636.36,8.866144785
1963,26030998.54,6121192.308,21.42837558
1964,35951446,6129516.1,10.94321919
1965,77103980.75,8362500,10.93399589
1966,17779316.44,6105375.444,3.159699098
1967,46858258.29,5183529.412,16.73319336
1968,24143504.93,6094333.333,26.13291704
1969,35234395.3,8434408.7,6.461062348
1970,35987368.58,8510418.211,20.55318376
1971,29795089.18,4038352.941,16.81782246
1972,47309106.45,2876568.545,76.63525672
1973,73104443.69,4409861.438,27.48299769
1974,51145006.8,4843000,37.06831557
1975,54777808.06,3761176.471,28.11646046
1976,43417928.25,6609460,14.30343303
1977,90184689.76,7457142.857,53.46930446
1978,57831623.23,8340227.273,23.30419363
1979,58657501,11797916.67,17.79520179
1980,52468759.47,12885000,9.450849963
1981,38639163.84,10580681.82,7.092760525
1982,68852653.7,12947297.3,6.664658436
1983,50965006.98,13875536.59,5.522063863
1984,49781978.51,13550853.89,5.912285964
1985,46145311.83,14357085.34,4.630432395
1986,42361111.43,12996296.3,4.509745891
1987,47466289.04,13514821.54,4.591183227
1988,45292955.36,13653653.33,2.959224545
1989,77101461.23,18058212.13,5.677871624
1990,84574865.48,22190822.58,4.473808854
1991,65077538.75,22228825.01,2.611974093
1992,83157090.08,22882586.53,3.946522766
1993,76963774.74,21210932.74,3.299492041
1994,92477642.86,27568589.04,5.324409847
1995,82386637.14,30430432.56,2.805861563
1996,79871201.21,31466920.51,2.721284721
1997,103935368.3,40606062.19,3.634392233
1998,89554547.16,38721862.42,2.758430986
1999,94153355.34,40241405.18,35.58079538
2000,95316210.13,42120862.07,2.423414479
2001,100701875.1,41176175.57,2.519071126
2002,103952881.7,39912406.71,3.537178233
2003,118767295.4,43568501.3,3.356624531
2004,110386151.2,44740615.39,9.762746459
2005,95222512.89,40351461.19,3.534916153
2006,91101177.86,38638064.17,3.112630825
2007,108314986.8,40794792.9,79.48725851
2008,113333107.2,43295361.45,2.917846127
2009,123642221.6,42961466.36,2.501780856
2010,115912720.1,42529198.23,3.97149903
2011,115038823.9,42207672.58,3.239759315
2012,151783621.8,47531228.93,3.982337798
2013,138017084.7,47994270.37,2.994185526
2014,138619736.3,41683496.54,4.082900365
2015,157855910.6,43877591.07,6.569247762
2016,149972755.9,48014441.56,3.205082652
2017,224590059,65616140.25,6.254869264
